Date,Time,Total searches,Discovery searches,Total views,Search views,Maps views,Total actions,Direct searches,Website actions,Directions actions,Phone call actions,Total owner photos,Owner photo views,Total customer photos,Customer photo views,y
5/1/2019,1,499,31,574,311,263,100,468,52,42,6,1,65,15,3392,6734.13
5/2/2019,2,639,57,702,363,339,115,582,50,62,3,1,171,15,4471,7259.17
5/3/2019,3,789,97,941,518,423,187,692,84,85,18,1,195,16,5453,11171.54
5/4/2019,4,658,75,715,396,319,172,583,64,92,16,1,101,16,3600,10104.82
5/5/2019,5,466,25,569,221,348,141,441,37,98,6,1,131,16,4392,9450.25
5/6/2019,6,409,58,485,221,264,125,351,44,78,3,1,99,16,2805,6146.00
5/7/2019,7,470,85,563,203,360,122,385,56,59,7,1,75,16,2562,5790.29
5/8/2019,8,363,65,448,116,332,175,298,77,91,7,1,166,16,6237,5772.45
5/9/2019,9,409,68,465,124,341,137,341,52,75,10,1,125,16,6117,7182.18
5/10/2019,10,436,56,549,161,388,144,380,44,95,5,1,106,16,4965,8638.31
5/11/2019,11,392,40,498,119,379,127,352,47,76,4,1,92,16,3093,9355.54
5/12/2019,12,360,78,446,133,313,97,282,42,52,3,1,96,16,2539,5994.65
5/13/2019,13,326,59,400,120,280,100,267,36,58,6,1,92,16,2265,5020.82
5/14/2019,14,477,86,680,179,501,167,391,56,86,25,1,88,16,2617,5746.59
5/15/2019,15,390,43,467,129,338,151,347,49,93,9,0,0,0,0,5060.83
5/16/2019,16,420,32,490,95,395,135,388,39,85,11,1,99,16,3399,6623.90
5/17/2019,17,346,33,640,107,533,88,313,33,54,1,1,99,17,3680,9838.44
5/18/2019,18,274,51,367,110,257,110,223,46,57,7,1,84,19,3509,8906.85
5/19/2019,19,437,61,601,151,450,126,376,40,81,5,1,115,20,5219,11502.10
5/20/2019,20,472,56,572,154,418,123,416,38,78,7,1,60,20,2605,5913.22
5/21/2019,21,568,51,744,187,557,141,517,54,74,13,1,108,20,4499,6069.52
5/22/2019,22,510,63,597,193,404,192,447,66,116,10,1,55,20,2974,5933.08
5/23/2019,23,602,72,719,151,568,180,530,51,116,13,1,132,21,5549,8088.64
5/24/2019,24,533,51,682,168,514,119,482,43,68,8,1,78,21,4481,10747.71
5/25/2019,25,380,37,521,139,382,145,343,45,95,5,1,97,21,4243,9506.33
5/26/2019,26,508,51,673,217,456,163,457,78,79,6,1,127,21,5384,9255.40
5/27/2019,27,522,70,645,216,429,125,452,54,69,2,1,99,26,6081,10860.14
5/28/2019,28,724,91,902,215,687,236,633,66,158,12,0,0,0,0,6190.53
5/29/2019,29,449,51,559,128,431,161,398,56,98,7,1,65,26,3585,6836.40
5/30/2019,30,510,50,652,135,517,132,460,38,85,9,1,42,26,3406,6392.14
5/31/2019,31,558,46,691,298,393,162,512,46,104,12,1,56,26,3760,8849.18
6/1/2019,32,705,42,811,396,415,183,663,74,98,11,1,75,26,4753,10715.05
6/2/2019,33,689,65,793,388,405,162,624,77,80,5,1,75,26,5057,9941.03
6/3/2019,34,456,40,522,245,277,126,416,54,63,9,1,54,26,3716,6583.55
6/4/2019,35,384,40,514,186,328,134,344,49,77,8,1,57,28,4255,6683.10
6/5/2019,36,466,25,569,221,348,141,441,37,98,6,1,37,28,3699,6534.80
6/6/2019,37,409,58,485,221,264,125,351,44,78,3,1,55,28,3816,6214.35
6/7/2019,38,470,85,563,203,360,122,385,56,59,7,1,52,28,3621,8039.99
